id,username,text,keywords,date,location
1189680336613052416,TheSocialMauro,@sebastianpinera Deberia seguir los pasos de su colega. #RenunciaPiñera pero con respeto. https://t.co/x2LS3DehwK,['#RenunciaPiñera'],2019-10-30 23:07:50,
1189668377444470786,vientocontrario,"@ConfeCobre cuándo se van a poner de parte del pueblo de Chile? O les pesan los bolsillos?
#ChileDesperto 
#renunciapiñera",['#RenunciaPiñera'],2019-10-30 22:20:18,Chile
1189692469111336960,franelgueta,"#PiñeraVerguenzaMundial
La vendiste bien en las elecciones, hay que reconocerlo. Populismo y campaña del terror dieron sus frutos, pero ya no más. #RenunciaPiñera",['#RenunciaPiñera'],2019-10-30 23:56:02,"Viña del Mar, Chile"
1189680433132449798,Poolet12,En #Maipu a estas horas. #RenunciaPiñera https://t.co/iLnxpdwmef,['#RenunciaPiñera'],2019-10-30 23:08:13,
1189658789621972992,Dlirante,Harto maricones los asesores de Piñera po wn #RenunciaPiñera #EstoNoPrendio #EstoNoSeAcaba,['#RenunciaPiñera'],2019-10-30 21:42:12,
1189668672194973697,prinss_gonzalez,"#RenunciaPiñera #RenunciaCubillos
@sebastianpinera deja de hacer un circo nuestro país, hazle un favor a tus hijos y tus nietos..!! https://t.co/kmMqgM7LHE",['#RenunciaPiñera'],2019-10-30 22:21:29,"Calama, Chile"
1189675761046827013,Basthianofilo,"Anda a visitarlo po @sebastianpinera conchetumadre traidor, como pretendes que te queramos como presidente, si nos hiciste tanto daño!
#renunciapiñera
#AcusacionConstitucionalAPiñera
#LaMarchaMasGrandeDeChile2 
#NosSiguenMatando https://t.co/dFqp6TREM1",['#RenunciaPiñera'],2019-10-30 22:49:39,
1189690499143213059,Juksay1,Es hora de que el D E G E N E R A D O D E K A R O L D A N C E sea sacrificado a la pachamama para que piñera sea destituido #RenunciaPiñera #PiñeraDictador,['#RenunciaPiñera'],2019-10-30 23:48:13,
1189690134918246400,matu_pj,"Ahora entiendo todo.. 😉
#piñeraculiao #PiñeraVeguenzaMundial
#RenunciaPiñera https://t.co/2JR9QVlxAO",['#RenunciaPiñera'],2019-10-30 23:46:46,Santiago de Chile
1189661012221407232,davhomm,"Si el ladrón asesino no se va, acusación constitucional. #RenunciaPiñera #AsambleaConstituyente https://t.co/EyiU0nbnQB",['#RenunciaPiñera'],2019-10-30 21:51:02,"Antofagasta, Chile"
1189669605276553217,Diegoouu,Locales comerciales de Temuco pareciera que se estan preparando para una guerra o un huracán jajaja 😂😂 #Temuco #30Oct #MarchaMasGrandeDeChile2 #renunciapiñera,['#RenunciaPiñera'],2019-10-30 22:25:11,Temuco
1189687095247413248,LucasZaines,Manifestacion pacifica en #iquique #RenunciaPiñera #AsambleaConstituyente https://t.co/TC0SRLkK0R,['#RenunciaPiñera'],2019-10-30 23:34:41,
1189686972635332609,pia_cam,"@adnradiochile Seria ""Reprimen violentamente una masiva manifestacion ..... "", es lo que se vio todo el dia aca en stgo #RenunciaPiñera #PineraDictador",['#RenunciaPiñera'],2019-10-30 23:34:12,
1189663524529868800,rodrigo_1892,Que agradable sujeto el nuevo intendente!!!! ideal para tener un cargo publico!!! #RenunciaPiñera @PamJiles @GiorgioJackson https://t.co/w7Dwfsq9em,['#RenunciaPiñera'],2019-10-30 22:01:01,
